S1,T1,T2,S2,Faster?
100,6,24,25,no
100,8,24,33.33333333,no
100,10,24,41.66666667,no
100,12,24,50,no
100,14,24,58.33333333,no
100,16,24,66.66666667,no
100,18,24,75,no
100,20,24,83.33333333,no
100,22,24,91.66666667,no
100,24,24,100,no
100,26,24,108.3333333,yes
100,28,24,116.6666667,yes
100,30,24,125,yes
100,32,24,133.3333333,yes
100,34,24,141.6666667,yes
100,36,24,150,yes
500,6,24,125,no
500,8,24,166.6666667,no
500,10,24,208.3333333,no
500,12,24,250,no
500,14,24,291.6666667,no
500,16,24,333.3333333,no
500,18,24,375,no
500,20,24,416.6666667,no
500,22,24,458.3333333,no
500,24,24,500,no
500,26,24,541.6666667,yes
500,28,24,583.3333333,yes
500,30,24,625,yes
500,32,24,666.6666667,yes
500,34,24,708.3333333,yes
500,36,24,750,yes
1000,6,24,250,no
1000,8,24,333.3333333,no
1000,10,24,416.6666667,no
1000,12,24,500,no
1000,14,24,583.3333333,no
1000,16,24,666.6666667,no
1000,18,24,750,no
1000,20,24,833.3333333,no
1000,22,24,916.6666667,no
1000,24,24,1000,no
1000,26,24,1083.333333,yes
1000,28,24,1166.666667,yes
1000,30,24,1250,yes
1000,32,24,1333.333333,yes
1000,34,24,1416.666667,yes
1000,36,24,1500,yes
