t,y with h=0.01,y with h=0.005,y with h=0.001,y with h=0.0005,y with h=0.0002,y with h=0.0001
-2.50000000,-inf,-inf,-inf,-inf,-inf,-inf
-2.49990000,,,,,,-inf
-2.49980000,,,,,-inf,-inf
-2.49970000,,,,,,-inf
-2.49960000,,,,,-inf,-inf
-2.49950000,,,,-inf,,-inf
-2.49940000,,,,,-inf,-inf
-2.49930000,,,,,,-inf
-2.49920000,,,,,-inf,-inf
-2.49910000,,,,,,-inf
-2.49900000,,,-inf,-inf,-inf,-inf
-2.49890000,,,,,,-inf
-2.49880000,,,,,-inf,-inf
-2.49870000,,,,,,-inf
-2.49860000,,,,,-inf,-inf
-2.49850000,,,,-inf,,-inf
-2.49840000,,,,,-inf,-inf
-2.49830000,,,,,,-inf
-2.49820000,,,,,-inf,-inf
-2.49810000,,,,,,-inf
-2.49800000,,,-inf,-inf,-inf,-inf
-2.49790000,,,,,,-inf
-2.49780000,,,,,-inf,-inf
-2.49770000,,,,,,-inf
-2.49760000,,,,,-inf,-inf
-2.49750000,,,,-inf,,-inf
-2.49740000,,,,,-inf,-inf
-2.49730000,,,,,,-inf
-2.49720000,,,,,-inf,-inf
-2.49710000,,,,,,-inf
-2.49700000,,,-inf,-inf,-inf,-inf
-2.49690000,,,,,,-inf
-2.49680000,,,,,-inf,-inf
-2.49670000,,,,,,-inf
-2.49660000,,,,,-inf,-inf
-2.49650000,,,,-inf,,-inf
-2.49640000,,,,,-inf,-inf
-2.49630000,,,,,,-inf
-2.49620000,,,,,-inf,-inf
-2.49610000,,,,,,-inf
-2.49600000,,,-inf,-inf,-inf,-inf
-2.49590000,,,,,,-inf
-2.49580000,,,,,-inf,-inf
-2.49570000,,,,,,-inf
-2.49560000,,,,,-inf,-inf
-2.49550000,,,,-inf,,-inf
-2.49540000,,,,,-inf,-inf
-2.49530000,,,,,,-inf
-2.49520000,,,,,-inf,-inf
-2.49510000,,,,,,-inf
-2.49500000,,-inf,-inf,-inf,-inf,-inf
-2.49490000,,,,,,-inf
-2.49480000,,,,,-inf,-inf
-2.49470000,,,,,,-inf
-2.49460000,,,,,-inf,-inf
-2.49450000,,,,-inf,,-inf
-2.49440000,,,,,-inf,-inf
-2.49430000,,,,,,-inf
-2.49420000,,,,,-inf,-inf
-2.49410000,,,,,,-inf
-2.49400000,,,-inf,-inf,-inf,-inf
-2.49390000,,,,,,-inf
-2.49380000,,,,,-inf,-inf
-2.49370000,,,,,,-inf
-2.49360000,,,,,-inf,-inf
-2.49350000,,,,-inf,,-inf
-2.49340000,,,,,-inf,-inf
-2.49330000,,,,,,-inf
