t,y with h=0.01,y with h=0.005,y with h=0.001
-3.0,-inf,-inf,-inf
-2.99,-inf,-inf,-inf
-2.98,-inf,-inf,-inf
-2.97,-inf,-inf,-inf
-2.96,-inf,-inf,-inf
-2.95,-inf,-inf,-inf
-2.94,-inf,-inf,-inf
-2.93,-inf,-inf,-inf
-2.92,-inf,-inf,-inf
-2.91,-inf,-inf,-inf
-2.9,-inf,-inf,-inf
-2.89,-inf,-inf,-inf
-2.88,-inf,-inf,-inf
-2.87,-inf,-inf,-inf
-2.86,-inf,-inf,-inf
-2.85,-inf,-inf,-inf
-2.84,-inf,-inf,-inf
-2.83,-inf,-inf,-inf
-2.82,-inf,-inf,-inf
-2.81,-inf,-inf,-inf
-2.8,-inf,-inf,-inf
-2.79,-inf,-inf,-inf
-2.78,-inf,-inf,-inf
-2.77,-inf,-inf,-inf
-2.76,-inf,-inf,-inf
-2.75,-inf,-inf,-inf
-2.74,-inf,-inf,-inf
-2.73,-inf,-inf,-inf
-2.7199999999999998,-inf,-inf,-inf
-2.71,-inf,-inf,-inf
-2.7,-inf,-inf,-inf
-2.69,-inf,-inf,-inf
-2.68,-inf,-inf,-inf
-2.67,-inf,-inf,-inf
-2.66,-inf,-inf,-inf
-2.65,-inf,-inf,-inf
-2.64,-inf,-inf,-inf
-2.63,-inf,-inf,-inf
-2.62,-inf,-inf,-inf
-2.61,-inf,-inf,-inf
-2.6,-inf,-inf,-inf
-2.59,-inf,-inf,-inf
-2.58,-inf,-inf,-inf
-2.57,-inf,-inf,-inf
-2.56,-inf,-inf,-inf
-2.55,-inf,-inf,-inf
-2.54,-inf,-inf,-inf
-2.53,-inf,-inf,-inf
-2.52,-inf,-inf,-inf
-2.51,-inf,-inf,-inf
-2.5,-inf,-inf,-inf
-2.49,-inf,-inf,-inf
-2.48,-inf,-inf,-inf
-2.4699999999999998,-inf,-inf,-inf
-2.46,-inf,-inf,-inf
-2.45,-inf,-inf,-inf
-2.44,-inf,-inf,-inf
-2.4299999999999997,-inf,-inf,-inf
-2.42,-inf,-inf,-inf
-2.41,-inf,-inf,-inf
-2.4,-inf,-inf,-inf
-2.39,-inf,-inf,-inf
-2.38,-inf,-inf,-inf
-2.37,-inf,-inf,-inf
-2.36,-inf,-inf,-inf
-2.35,-inf,-inf,-inf
-2.34,-inf,-inf,-inf
-2.33,-inf,-inf,-inf
-2.32,-inf,-inf,-inf
-2.31,-inf,-inf,-inf
-2.3,-inf,-inf,-inf
-2.29,-inf,-inf,-inf
-2.2800000000000002,-inf,-inf,-inf
-2.27,-inf,-inf,-inf
-2.26,-inf,-inf,-inf
-2.25,-1.018030482902721e+204,-inf,-inf
-2.24,-1.0089749664400604e+103,-inf,-inf
-2.23,-3.176436629999189e+52,-inf,-inf
-2.2199999999999998,-1.78225605062774e+27,-inf,-inf
-2.21,-422167745170957.9,-inf,-inf
-2.2,-205467159.22101057,-inf,-inf
-2.19,-143290.17096344815,-4.456797695741318e+241,-inf
-2.1799999999999997,-3734.6229489760335,-1.37413128379238e+62,-inf
-2.17,-562.1582333280192,-1.8208725693061366e+17,-inf
-2.16,-191.4490170944539,-1098505.9742113997,-inf
-2.15,-96.40020074387215,-1617.799368562827,-inf
-2.14,-59.580735986649515,-223.80210871891273,-inf
-2.13,-41.46159576394752,-90.99664558640664,-2570479.166383611
-2.12,-31.09101202294925,-52.906676791842976,-181.421114733438
-2.11,-24.51789280750688,-36.179384188099604,-67.64412070751085
-2.1,-20.037845520529654,-27.053954185270417,-40.478153214688106
-2.09,-16.81521276899274,-21.387930047608474,-28.558957504777712
-2.08,-14.399105104664093,-17.55670130837943,-21.904121779373305
-2.07,-12.52754270768602,-14.805492761388695,-17.667134661654593
-2.06,-11.039087078582057,-12.739774006476738,-14.736147384308795
-2.05,-9.829390415632345,-11.13462886858637,-12.589094736225974
-2.04,-8.828290214201061,-9.853018716610263,-10.948945211983236
-2.0300000000000002,-7.987019850341616,-8.80693952025819,-9.655226133093013
-2.02,-7.270714520621327,-7.937416483001654,-8.608633136143473
