t,y with h=0.01,y with h=0.005,y with h=0.001
-3.0,-inf,-inf,-inf
-2.99,-inf,-inf,-inf
-2.98,-inf,-inf,-inf
-2.97,-inf,-inf,-inf
-2.96,-inf,-inf,-inf
-2.95,-inf,-inf,-inf
-2.94,-inf,-inf,-inf
-2.93,-inf,-inf,-inf
-2.92,-inf,-inf,-inf
-2.91,-inf,-inf,-inf
-2.9,-inf,-inf,-inf
-2.89,-inf,-inf,-inf
-2.88,-inf,-inf,-inf
-2.87,-inf,-inf,-inf
-2.86,-inf,-inf,-inf
-2.85,-inf,-inf,-inf
-2.84,-inf,-inf,-inf
-2.83,-inf,-inf,-inf
-2.82,-inf,-inf,-inf
-2.81,-inf,-inf,-inf
-2.8,-inf,-inf,-inf
-2.79,-inf,-inf,-inf
-2.78,-inf,-inf,-inf
-2.77,-inf,-inf,-inf
-2.76,-inf,-inf,-inf
-2.75,-inf,-inf,-inf
-2.74,-inf,-inf,-inf
-2.73,-inf,-inf,-inf
-2.7199999999999998,-inf,-inf,-inf
-2.71,-inf,-inf,-inf
-2.7,-inf,-inf,-inf
-2.69,-inf,-inf,-inf
-2.68,-inf,-inf,-inf
-2.67,-inf,-inf,-inf
-2.66,-inf,-inf,-inf
-2.65,-inf,-inf,-inf
-2.64,-inf,-inf,-inf
-2.63,-inf,-inf,-inf
-2.62,-inf,-inf,-inf
-2.61,-inf,-inf,-inf
-2.6,-inf,-inf,-inf
-2.59,-inf,-inf,-inf
-2.58,-inf,-inf,-inf
-2.57,-inf,-inf,-inf
-2.56,-inf,-inf,-inf
-2.55,-inf,-inf,-inf
-2.54,-inf,-inf,-inf
-2.53,-inf,-inf,-inf
-2.52,-inf,-inf,-inf
-2.51,-inf,-inf,-inf
-2.5,-inf,-inf,-inf
-2.49,-inf,-inf,-inf
-2.48,-inf,-inf,-inf
-2.4699999999999998,-inf,-inf,-inf
-2.46,-inf,-inf,-inf
-2.45,-inf,-inf,-inf
-2.44,-inf,-inf,-inf
-2.4299999999999997,-inf,-inf,-inf
-2.42,-inf,-inf,-inf
-2.41,-inf,-inf,-inf
-2.4,-inf,-inf,-inf
-2.39,-inf,-inf,-inf
-2.38,-inf,-inf,-inf
-2.37,-inf,-inf,-inf
-2.36,-inf,-inf,-inf
-2.35,-inf,-inf,-inf
-2.34,-inf,-inf,-inf
-2.33,-inf,-inf,-inf
-2.32,-inf,-inf,-inf
-2.31,-inf,-inf,-inf
-2.3,-inf,-inf,-inf
-2.29,-inf,-inf,-inf
-2.2800000000000002,-inf,-inf,-inf
-2.27,-inf,-inf,-inf
-2.26,-inf,-inf,-inf
-2.25,-inf,-inf,-inf
-2.24,-inf,-inf,-inf
-2.23,-inf,-inf,-inf
-2.2199999999999998,-inf,-inf,-inf
-2.21,-inf,-inf,-inf
-2.2,-inf,-inf,-inf
-2.19,-inf,-inf,-inf
-2.1799999999999997,-inf,-inf,-inf
-2.17,-inf,-inf,-inf
-2.16,-inf,-inf,-inf
-2.15,-inf,-inf,-inf
-2.14,-inf,-inf,-inf
-2.13,-inf,-inf,-inf
-2.12,-inf,-inf,-inf
-2.11,-inf,-inf,-120.77349308335602
-2.1,-inf,-inf,-51.30661435467625
-2.09,-inf,-inf,-32.77388888490348
-2.08,-inf,-39.145338061504745,-24.01051623109378
-2.07,-inf,-25.889165581650197,-18.874655279526884
-2.06,-41.47458153631433,-19.522641142109922,-15.491152931183914
-2.05,-23.37644603518431,-15.682025507417379,-13.090247253198322
-2.04,-17.390673205418246,-13.085659970383835,-11.296434461156101
-2.0300000000000002,-13.970017978717937,-11.202650107791275,-9.904728954231736
-2.02,-11.69369686321436,-9.769684316420868,-8.792299691413334
-2.01,-10.049331807491857,-8.640011095379396,-7.88230496674482
-2.0,-8.797072053379694,-7.724982898635736,-7.123773222884363
-1.99,-7.807288382061389,-6.967783067505098,-6.481550797850146
-1.98,-7.002803630776146,-6.330185270045494,-5.930602025356902
-1.97,-6.3346078197185145,-5.785561836303392,-5.452610006797219
-1.96,-5.769765829954033,-5.314617933959675,-5.033862395061574
