t,y with h=0.01,y with h=0.005,y with h=0.001
-3.0,,,
-2.99,,,
-2.98,,,
-2.97,,,
-2.96,,,
-2.95,,,
-2.94,,,
-2.93,,,
-2.92,,,
-2.91,,,
-2.9,,,
-2.89,,,
-2.88,,,
-2.87,,,
-2.86,,,
-2.85,,,
-2.84,,,
-2.83,,,
-2.82,,,
-2.81,,,
-2.8,,,
-2.79,,,
-2.78,,,
-2.77,,,
-2.76,,,
-2.75,,,
-2.74,,,
-2.73,,,
-2.7199999999999998,,,
-2.71,,,
-2.7,,,
-2.69,,,
-2.68,,,
-2.67,,,
-2.66,,,
-2.65,,,
-2.64,,,
-2.63,,,
-2.62,,,
-2.61,,,
-2.6,,,
-2.59,,,
-2.58,,,
-2.57,,,
-2.56,,,
-2.55,,,
-2.54,,,
-2.53,,,
-2.52,,,
-2.51,,,
-2.5,,,
-2.49,,,
-2.48,,,
-2.4699999999999998,,,
-2.46,,,
-2.45,,,
-2.44,,,
-2.4299999999999997,,,
-2.42,,,
-2.41,,,
-2.4,,,
-2.39,,,
-2.38,,,
-2.37,,,
-2.36,,,
-2.35,,,
-2.34,,,
-2.33,,,
-2.32,,,
-2.31,,,
-2.3,,,
-2.29,,,
-2.2800000000000002,,,
-2.27,,,
-2.26,,,
-2.25,,,
-2.24,,,
-2.23,,,
-2.2199999999999998,,,
-2.21,,,
-2.2,,,
-2.19,,,
-2.1799999999999997,,,
-2.17,,,
-2.16,,,
-2.15,-5.2533890751940495e+270,,
-2.14,-5.788704108626874e+35,,
-2.13,-2470764.2603638866,-6.518324844292378e+31,
-2.12,-439.74323514792434,-734.0365447535339,-1404.0432680791446
-2.11,-90.2165074204728,-92.28865009386963,-92.74774671380197
-2.1,-47.0746015974605,-47.28959296777695,-47.32951367227526
-2.09,-31.474017557915936,-31.524627309921637,-31.533467749431857
-2.08,-23.4835300240601,-23.500943197084826,-23.503879711827512
-2.07,-18.632938561050576,-18.640376182971586,-18.641600792357718
-2.06,-15.376007427018195,-15.379658665019438,-15.380249427768268
-2.05,-13.037879660135696,-13.039854417244628,-13.0401697035914
-2.04,-11.277428785116859,-11.27857551693358,-11.27875670252713
-2.0300000000000002,-9.90375380982523,-9.904456796277609,-9.904566947022252
-2.02,-8.801712737058237,-8.802162394886015,-8.802232376754715
-2.01,-7.897742864061361,-7.898040428654134,-7.898086483952865
-2.0,-7.142649924701257,-7.142852353719266,-7.142883542044385
-1.99,-6.502290876580001,-6.502431742210169,-6.502453364213513
-1.98,-5.9522272510719425,-5.952327126296186,-5.952342409598762
-1.97,-5.474506183323446,-5.474578097722548,-5.4745890752089075
-1.96,-5.055642863486029,-5.055695305705751,-5.055703295380588
-1.95,-4.685311955959186,-4.68535059326735,-4.685356471323553
-1.94,-4.35547343887575,-4.355502136591663,-4.355506498378949
-1.93,-4.059773443310603,-4.059794887704496,-4.059798145586645
-1.92,-3.7931241969237,-3.7931402861010537,-3.7931427305835275
-1.91,-3.5514035776728785,-3.5514156727366144,-3.551417511582139
-1.9,-3.3312363446470554,-3.3312454345306026,-3.33124681833404
-1.89,-3.129832265080546,-3.1298390768003617,-3.1298401160368456
-1.88,-2.944864591929213,-2.9448696656065616,-2.9448704421959233
-1.8699999999999999,-2.7743776257372983,-2.774381366448195,-2.774381941724755
-1.8599999999999999,-2.616715551539065,-2.616718265661135,-2.616718685945935
-1.8499999999999999,-2.470467049307782,-2.470468970331681,-2.4704692708800438
-1.84,-2.3344217443551187,-2.334423051433255,-2.3344232592653174
-1.83,-2.2075356465864218,-2.207536478008781,-2.2075366139616914
-1.82,-2.0889034860376707,-2.0889039491210544,-2.0889040293521415
-1.81,-1.9777363909264365,-1.9777365693393445,-1.9777366064375514
-1.8,-1.873343742049242,-1.8733437012841179,-1.8733437050989934
-1.79,-1.7751183194728832,-1.7751181109669254,-1.7751180892319474
-1.78,-1.6825240650580142,-1.682523729319255,-1.6825236881240375
-1.77,-1.5950859386695007,-1.5950855076645518,-1.5950854518150641
-1.76,-1.5123814617394118,-1.51238096072888,-1.5123808940240158
-1.75,-1.4340336295420926,-1.434033078499777,-1.4340330039449711
-1.74,-1.3597049405024457,-1.3597043552187327,-1.3597042751918804
-1.73,-1.2890923423947391,-1.2890917353388378,-1.2890916517198339
-1.72,-1.2219229352496692,-1.221922316246586,-1.2219222305189439
-1.71,-1.1579503019906565,-1.1579496787550334,-1.1579495920859622
-1.7,-1.0969513623480402,-1.0969507409068249,-1.0969506542105871
-1.69,-1.038723665001977,-1.0387230500303186,-1.0387229640185511
-1.68,-0.9830830483444837,-0.983082443433579,-0.9830823586553991
-1.67,-0.9298616126074536,-0.9298610204787935,-0.9298609373528655
-1.66,-0.8789059560458594,-0.878905378723084,-0.8789052975633321
-1.65,-0.8300756359066321,-0.8300750748537297,-0.8300749958900101
-1.64,-0.7832418214493704,-0.7832412776820575,-0.7832412010768152
-1.63,-0.7382861116219224,-0.7382855857975846,-0.738285511659302
-1.6199999999999999,-0.6950994943714349,-0.6950989868618719,-0.6950989152559477
-1.6099999999999999,-0.6535814281775287,-0.6535809391278675,-0.6535808700854288
-1.5999999999999999,-0.6136390293770048,-0.6136385587534603,-0.6136384922785049
-1.59,-0.5751863513263805,-0.5751858989549969,-0.5751858350301914
-1.58,-0.5381437435131412,-0.5381433091112259,-0.5381432477026126
-1.57,-0.5024372804537561,-0.5024368636553802,-0.5024368047161956
-1.56,-0.467998251666429,-0.4679978520431005,-0.4679977955168761
-1.55,-0.43476270522780314,-0.4347623223052081,-0.43476226812828245
-1.54,-0.4026710384548164,-0.40267067172635085,-0.4026706198299033
-1.53,-0.3716676301276296,-0.37166727906531066,-0.3716672293770034
-1.52,-0.3417005094132239,-0.341700173476458,-0.3417001259217587
-1.51,-0.3127210572833309,-0.3127207359259286,-0.31272069042917033
-1.5,-0.2846837367624886,-0.28468342943824526,-0.28468338592347303
-1.49,-0.2575458488067808,-0.25754555497388226,-0.2575455133655233
-1.48,-0.23126731101329281,-0.23126703013776034,-0.23126699036115095
-1.47,-0.20581045670454093,-0.20581018826289052,-0.2058101502446852
-1.46,-0.18113985222946136,-0.18113959571072116,-0.18113955937920548
-1.45,-0.15722213057997955,-0.1572218854871837,-0.1572218507725087
-1.44,-0.13402583964557271,-0.13402560549682893,-0.13402557233118179
-1.43,-0.11152130362252437,-0.1115210799517358,-0.11152104826945793
-1.42,-0.08968049626389923,-0.08968028262120663,-0.0896802523588698
-1.41,-0.06847692480415339,-0.06847672075615183,-0.0684766918526005
-1.4,-0.04788552352171219,-0.04788532865148753,-0.04788530104785347
-1.39,-0.02788255601632633,-0.02788236992334848,-0.027882343563043758
-1.38,-0.00844552537770565,-0.008445347677608845,-0.008445322506301593
-1.3699999999999999,0.010446908490333019,0.010447078166057595,0.010447102200481027
-1.3599999999999999,0.02881500504861025,0.028815167052988963,0.028815190000472196
-1.3499999999999999,0.04667801339430399,0.04667816806530552,0.04667818997367822
-1.3399999999999999,0.06405423715528187,0.06405438481627833,0.0640544057313181
-1.33,0.08096109448311616,0.08096123544336932,0.08096125540886764
-1.32,0.0974151735733065,0.09741530812846991,0.09741532718630092
-1.31,0.1134322840989688,0.11343241253159847,0.11343243072178918
-1.3,0.12902750490661707,0.12902762748668453,0.1290276448474858
-1.29,0.14421522828911054,0.1442153452745137,0.14421536184247113
-1.28,0.1590092011208769,0.15900931275794486,0.15900932856796923
-1.27,0.1734225631137299,0.17342266963771863,0.17342268472315475
-1.26,0.1874678824276101,0.18746798406318693,0.18746799845588186
-1.25,0.20115718884906741,0.20115728581078232,0.20115729954115127
-1.24,0.2145020047309918,0.2145020972237345,0.21450211032082508
-1.23,0.22751337386973935,0.22751346208918125,0.22751347458073534
-1.22,0.2402018884801759,0.24020197261319592,0.24020198452571
-1.21,0.25257771441507926,0.25257779464017405,0.2525778059989567
-1.2,0.2646506147626388,0.2646506912503163,0.26465070207954405
-1.19,0.2764299719443156,0.2764300448574726,0.27643005518024266
-1.18,0.28792480842495044,0.2879248779192337,0.2879248877576153
-1.17,0.29914380613761277,0.29914387236176526,0.29914388173684886
-1.16,0.3100953247171734,0.3100953878133641,0.3100953967453073
-1.15,0.3207874186288568,0.32078747873299596,0.3207874872410689
-1.14,0.33122785327101917,0.33122791051305883,0.3312279186156863
-1.13,0.34142412012502055,0.34142417462924096,0.341424182344043
-1.1199999999999999,0.3513834510192583,0.35138350290454096,0.3513835102483715
-1.1099999999999999,0.36111283156914575,0.3611128809492331,0.3611128879382168
-1.0999999999999999,0.3706190138500025,0.3706190608337451,0.37061906748331214
-1.0899999999999999,0.3799085283554252,0.3799085730470167,0.3799085793719366
-1.08,0.38898769528969684,0.38898773778889784,0.38898774380331097
-1.07,0.39786263523911913,0.3978626756414697,0.3978626813589171
-1.06,0.4065392792637971,0.40653931766081874,0.4065393230942711
-1.05,0.415023378448331,0.41502341492771877,0.41502342008960386
-1.04,0.4233205129470534,0.4233205475928583,0.4233205524950865
-1.03,0.43143610055686704,0.4314361334496694,0.43143613810365844
-1.02,0.4393754048483665,0.43937543606544066,0.43937544048213906
-1.01,0.44714354288375285,0.44714357249922365,0.44714357668913257
-1.0,0.4547454925480465,0.4547455206330377,0.45474552460623224
-0.9899999999999998,0.46218609951826517,0.46218612614104043,0.46218612990718994
-0.98,0.46947008389354017,0.4694701091196376,0.46947011268802463
-0.9699999999999998,0.476602046507586,0.47660207039994523,0.4766020737794828
-0.96,0.4835864749434993,0.4835864975625824,0.4835865007618324
-0.9500000000000002,0.4904277492695427,0.49042777067344884,0.49042777370063756
-0.94,0.49713014751334383,0.4971301677579187,0.49713017062095266
-0.9300000000000002,0.5036978508908173,0.5036978700297566,0.5036978727362371
-0.9199999999999999,0.5101349488050728,0.5101349668900209,0.5101349694472582
-0.9100000000000001,0.516445443629615,0.5164454607102581,0.516445463125284
-0.8999999999999999,0.5226332552892519,0.5226332714134073,0.5226332736929885
-0.8900000000000001,0.5287022256513095,0.5287022408650097,0.5287022430156598
-0.8799999999999999,0.534656122738991,0.5346561370865638,0.5346561391145542
-0.8700000000000001,0.5404986447780199,0.5404986583021649,0.5404986602135364
-0.8599999999999999,0.5462334240870584,0.5462334368289194,0.5462334386294916
-0.8500000000000001,0.5518640308217924,0.5518640428210255,0.5518640445164072
-0.8399999999999999,0.5573939765820227,0.5573939878768626,0.5573939894724601
-0.8300000000000001,0.5628267178905914,0.5628267285179123,0.5628267300189393
-0.8199999999999998,0.5681656595524954,0.5681656695478707,0.568165670959357
-0.81,0.57341415790211,0.573414167299868,0.5734141686266659
-0.7999999999999998,0.5785755239460357,0.5785755327793127,0.5785755340261055
-0.79,0.5836530264087162,0.5836530347095071,0.5836530358808164
-0.7799999999999998,0.58864989468763,0.5886499024868358,0.5886499035870277
-0.77,0.5935693217245455,0.5935693290520192,0.5935693300853113
-0.7599999999999998,0.5984144667990399,0.5984144736836288,0.5984144746540959
-0.75,0.6031884582502186,0.6031884647198057,0.6031884656313858
-0.7399999999999998,0.6078943961323292,0.6078944022138717,0.6078944030703717
-0.73,0.612535354809745,0.6125353605293109,0.6125353613344112
-0.7199999999999998,0.6171143854965907,0.6171143908793935,0.6171143916366536
-0.71,0.6216345187461048,0.6216345238165358,0.6216345245293988
-0.6999999999999997,0.6260987668946669,0.6260987716763269,0.6260987723481239
-0.69,0.6305101264652788,0.6305101309810063,0.6305101316149598
-0.6800000000000002,0.6348715805351508,0.63487158480705,0.6348715854062786
-0.6699999999999999,0.6391861010719422,0.6391861051214085,0.6391861056889308
-0.6600000000000001,0.6434566512430997,0.6434566550908443,0.6434566556295811
-0.6499999999999999,0.64768618770266,0.6476861913687318,0.6476861918815104
-0.6400000000000001,0.6518776628598132,0.6518776663636205,0.6518776668531775
-0.6299999999999999,0.6560340271334709,0.6560340304938008,0.6560340309627849
-0.6200000000000001,0.6601582311970442,0.6601582344320804,0.660158234883055
-0.6099999999999999,0.6642532282176085,0.6642532313449484,0.6642532317803936
-0.6000000000000001,0.668321976093624,0.6683219791302938,0.668321979552609
-0.5899999999999999,0.6723674396953784,0.6723674426578469,0.6723674430693528
-0.5800000000000001,0.6763925931123353,0.6763925960165263,0.6763925964194663
-0.5699999999999998,0.6804004219116008,0.6804004247729043,0.6804004251694462
-0.56,0.6843939254117609,0.6843939282450427,0.6843939286372803
-0.5499999999999998,0.6883761189764028,0.6883761217960125,0.6883761221859663
-0.54,0.6923500363316987,0.6923500391514765,0.6923500395410963
-0.5299999999999998,0.6963187319125207,0.6963187347458032,0.6963187351369662
-0.52,0.7002852832416531,0.7002852861012763,0.7002852864957898
-0.5099999999999998,0.7042527933467836,0.7042527962450856,0.7042527966446872
-0.5,0.7082243932200903,0.7082243961689122,0.7082243965752684
-0.48999999999999977,0.7122032443253858,0.7122032473360703,0.712203247750778
-0.48,0.7161925411579497,0.7161925442413389,0.7161925446659243
-0.46999999999999975,0.7201955138623624,0.7201955170287929,0.720195517464711
-0.45999999999999996,0.7242154309138598,0.7242154341731573,0.7242154346217913
-0.44999999999999973,0.7282556018689517,0.728255605230422,0.7282556056930822
-0.43999999999999995,0.7323193801912921,0.7323193836637114,0.7323193841416341
-0.43000000000000016,0.7364101661590596,0.7364101697506622,0.7364101702450068
-0.41999999999999993,0.7405314098604013,0.7405314135788644,0.7405314140907125
-0.41000000000000014,0.7446866142838069,0.7446866181362339,0.7446866186665874
-0.3999999999999999,0.7488793385106346,0.748879342503536,0.7488793430533126
-0.3900000000000001,0.7531132010173824,0.7531132051566526,0.7531132057266844
-0.3799999999999999,0.7573918830957059,0.7573918873865984,0.7573918879776275
-0.3700000000000001,0.7617191323986309,0.7617191368457297,0.7617191374584046
-0.3599999999999999,0.7660987666218838,0.7660987712290714,0.766098771863943
-0.3500000000000001,0.770534677329784,0.7705346821002065,0.7705346827577219
-0.33999999999999986,0.775030833935703,0.7750308388717295,0.7750308395522285
-0.33000000000000007,0.779591287847702,0.779591292950882,0.7795912936545892
-0.31999999999999984,0.784220176790616,0.7842201820616304,0.7842201827886495
-0.31000000000000005,0.7889217293165637,0.7889217347551717,0.7889217355054784
-0.2999999999999998,0.7937002695166304,0.7937002751216109,0.793700275895044
-0.29000000000000004,0.7985602219473015,0.7985602277163881,0.7985602285126409
-0.2799999999999998,0.8035061167861252,0.8035061227159358,0.8035061235345461
-0.27,0.8085425952320575,0.8085426013180161,0.8085426021583557
-0.2599999999999998,0.8136744151669952,0.8136744214032463,0.8136744222645083
-0.25,0.8189064570961462,0.8189064634754607,0.8189064643566482
-0.23999999999999977,0.8242437303861258,0.8242437368997986,0.8242437377997092
-0.22999999999999998,0.8296913798210089,0.829691386458746,0.8296913873759564
-0.21999999999999975,0.8352546924980261,0.8352546992478209,0.8352547001806698
-0.20999999999999996,0.8409391050861708,0.8409391119341695,0.8409391128807386
-0.19999999999999973,0.846750211472706,0.8467502184030583,0.846750219361153
-0.18999999999999995,0.8526937708244214,0.8526937778191181,0.8526937787862438
-0.18000000000000016,0.8587757160925238,0.8587757231312194,0.8587757241045565
-0.16999999999999993,0.8650021629922542,0.8650021700520707,0.865002171028449
-0.16000000000000014,0.8713794194907273,0.8713794265460403,0.8713794275219082
-0.1499999999999999,0.877913995839114,0.877914002861318,0.8779140038327109
-0.14000000000000012,0.8846126151881446,0.884612622145395,0.8846126231078987
-0.1299999999999999,0.8914822248290328,0.8914822316859623,0.8914822326346743
-0.1200000000000001,0.8985300081053283,0.8985300148227361,0.8985300157522226
